languages_used,index_numbers,mixed_clip_filename,transcripts,utterance_ids,total_duration
"hi, hi, hi, hi, hi","2987, 1090, 3313, 1058, 2189",mixed_clip_11.wav,मुझे यह कुत्ता अच्छा लगता है। | यूपीः कुएं में बाप-बेटी का शव मिलने से फैली सनसनी | विरासत के दर्जे की बाट जोहता वृंदावन | चीन में खुलेआम 'प्रेम के इजहार और चुंबनों' पर छिड़ी जंग | सैमसंग इस हफ्ते लॉन्च करने वाला है दो नए बजट स्मार्टफोन,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",21.132
"hi, hi, hi, hi, hi, hi","3067, 3991, 3239, 3089, 2354, 1580",mixed_clip_12.wav,"ड्रैगन ने उसे देखा। | उपेन ने अपना अधूरा काम किया पूरा, करिश्मा को कर डाला प्रपोज | लड़के ने कुत्ते पर पत्थर फेंके। | समुंदर में मछलियां होती हैं। | इस एक्ट्रेस का डांस वीडियो वायरल, सोशल मीडिया पर मची खलबली | मुजफ्फरनगर: महिला कांस्टेबल ने इंस्पेक्टर पर लगाया छेड़छाड़ का आरोप","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",23.328
"hi, hi, hi, hi, hi","3001, 1239, 3707, 2143, 3689",mixed_clip_13.wav,अगर तुममें थोड़ा और सब्र होता तो तुम कामयाब हो जाते। | सचिन जब चाहें तब लें संन्यास: राजीव शुक्ला | उसने एक गिलास दूध पिया। | 'मेरे लिए कामयाबी का मतलब शोहरत या पैसा नहीं: रितिक | केरल: पुलिसकर्मियों ने नाबालिग लड़की को बनाया हवस का शिकार,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.036
"hi, ne-NP, hi, hi","634, 88, 1743, 1991",mixed_clip_14.wav,पंचायत आजतक में बोले सुरजेवाला- 'ललित कला' में माहिर हैं वसुंधरा | अल्छी लागेर आयो । | 'असम रेप फेस्टिवल' की झूठी खबर से मचा बवाल | पैसे बदलवाने के लिए झारखंड के बैंको में लगी लोगों की भारी भीड़,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",19.907999999999998
"ne-NP, hi, hi, hi, hi, hi","196, 3960, 2750, 3712, 1902, 1341",mixed_clip_15.wav,गीत सुन्दै काम गर्दै बस्न रमाइलो हुन्छ । | मनमोहन ने दूसरी पारी का दूसरा साल किया पूरा | वे चाय पी रहीं हैं। | फ़िल्म कैसी थी? | केजरीवाल पर स्याही फेंकने वाला वीडियो फिल्म में रहेगा: सुप्रीम कोर्ट | भारत सरकार ने जारी की एडवाइजरी- तुर्की जाते वक्त बरतें सावधानी,"0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",21.744
"hi, hi, hi, hi","2022, 1019, 3998, 3037",mixed_clip_16.wav,"शोपियां: विधायक मोहम्मद युसूफ के घर पेट्रोल बम से हमला | ‘गरीब विरोधी’ लोकपाल विधेयक संसद में पेश नहीं होने दें: हज़ारे | चेन्नई में बदमाशों ने चलती ट्रेन में लहराए हथियार, वीडियो वायरल | उसने एक बहुत अच्छा सवाल पूछा।","d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.216
"ne-NP, hi, hi, hi, hi","62, 452, 1173, 64, 1574",mixed_clip_17.wav,नसके खुला स्थानलाई खुलै राख्ने चाहना । | वे बाहर गये हैं। | कांग्रेस नेता सिब्बल ने कहा- मोदी भ्रष्ट लोगों के 'चौकीदार' हैं | टॉम को वह पता था। | बच्चों की शिक्षा के जड़ में डाला जा रहा नकल का मट्ठा...,"9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",18.936
"hi, hi, hi, hi, hi, hi","587, 1283, 1332, 3887, 3118, 449",mixed_clip_18.wav,टौम ने वह मानने से इंकार कर दिया। | मां का दूध है बच्चे के लिए अमृत | जेल में विवादित संत रामपाल ने लगाया रिश्वत मांगने का आरोप | मर चुका है? | लगता है आप भारत से हैं। | तुम्हें समझ क्यों नहीं आता?,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3",20.232
"ne-NP, hi, hi, hi, hi","86, 3024, 3124, 3709, 2582",mixed_clip_19.wav,"हुन त, सिक्न खोजेको धेरै भयो। | WhatsApp अकाउंट एक से ज्यादा स्मार्टफोन्स में यूज कर सकेंगे: रिपोर्ट | तुम मुझे देखती हो। | अयोध्या में उद्धव की सरयू आरती, कहा- श्रेय नहीं, राम मंदिर की तारीख चाहिए | Bigg Boss: आकाश ने शिल्पा को जबरन किया किस, सोशल मीडिया पर हंगामा","9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",20.628
"hi, hi, hi, hi, hi","1470, 774, 688, 3535, 1631",mixed_clip_20.wav,हरियाणा: यमुनानगर जिले में बीजेपी का एकछत्र कब्जा | 'गोधरा ट्रेन जनसंहार के आरोपियों पर नहीं लगेगा पोटा' | अरे आप कैसे हैं | खिड़की खुली थी। | आरएसएस: सामाजिक सेवा से कायाकल्प की तैयारी,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",18.432
"hi, hi, hi, hi, hi","2345, 3944, 2598, 4013, 1745",mixed_clip_21.wav,वह तस्वीर मुझे दिखाओ। | पूर्व आर्मी चीफ वीके सिंह के घर में घुसा कौन? | और इंतेज़ार करना समय की सरासर बर्बादी होगी। | मोदी चाहेंगे तभी होगी भारत-पाक टेस्ट सीरीज | यूपी: सपा विधायक के भाई की विधवा ने लगाया रेप का सनसनीखेज आरोप,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.376
"hi, ne-NP, hi, ne-NP, hi","2291, 164, 2625, 99, 998",mixed_clip_22.wav,'बादशाहो' के लिए हो रही है एक्ट्रेस की तलाश | त्यतिबेला जनताले पनि पत्याउनेछन् । | बचाओ! | के रणनीति थियो र दाई? | पर्थ में सिर्फ तेज गेंदबाज जीत की गारंटी नहीं: क्लार्क,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0142a5d130e7fb1d6435cf711c230cda2631aac457b40578f78ce5379713dfeca4a804e61706697ffa10adf0667f4d17ae2acc739859b1b338332fc346a080d5, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.124000000000002
