index_no,transcript,utterance_id,duration,language,dataset_name
42,"अाबिस्कार, तिम्रो घर कता हो?",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.068,ne-NP,nepali
43,अहिले म चाबहिलमा छु हजुरहरु चै कता हुनुहुन्छ?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,6.12,ne-NP,nepali
44,यो सरकारका लागि सबै कुरा बिक्रीमा छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.04,ne-NP,nepali
45,ब्राजिलले जितेछ बधाइ छ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.528,ne-NP,nepali
46,ल ठिक छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.304,ne-NP,nepali
47,होटलको साहुनीले पकाकी होला त ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.212,ne-NP,nepali
48,"आज भाइटीका, सप्तरङ्गी टीका लगाएर मनाइँदै।",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.472,ne-NP,nepali
49,बुद्ध नेपालमै जन्मेका हुन्।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.924,ne-NP,nepali
50,आज परीक्षाको नतिजा प्रकाशन हुन्छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.068,ne-NP,nepali
51,खेललाई पेनाल्टी सम्म लग्ने ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.78,ne-NP,nepali
52,अब देखि भोड्का पनि स्पेनलाई सम्झेर खाइन्छ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.04,ne-NP,nepali
53,"अाज पौडी खेलेर अाएको, रमाइलो भयो ।",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.212,ne-NP,nepali
54,"ट्राफिक नियमको पालना गरौँ, आफ्नो र अरूको ज्यान बचाऔँ ।",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.868,ne-NP,nepali
55,बाटो एकदमै हिलो छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.42,ne-NP,nepali
56,"हैन, जर्मनी समुह चरणबाट बहिरिने सम्भावना धेरै देख्छु म त ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,6.048,ne-NP,nepali
57,थाहा छैन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali
58,तिमी हराएर हो नि भाई ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.096,ne-NP,nepali
59,तिमी के के गर्न सक्छौ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.96,ne-NP,nepali
60,बाटो खास्सै राम्रो त् छैन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.42,ne-NP,nepali
61,नतिजा आफ्नो पोल्टामा परेन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.276,ne-NP,nepali
62,नसके खुला स्थानलाई खुलै राख्ने चाहना ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.96,ne-NP,nepali
63,"तपाईंलाई मन परेको फिल्म तपाईंका लागि राम्रो, नपरेको नराम्रो ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.328,ne-NP,nepali
64,मैले फुकें बाँसुरी ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali
65,धेरै फिलिम हेर्न पनि हुदैँन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.6,ne-NP,nepali
66,सर्भर बन्द भएको रहेछ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.24,ne-NP,nepali
67,"ल केटा, राति बस्नुपर्छ अब एकदिन ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.32,ne-NP,nepali
68,अब हेर्न मजा आउने भयो।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali
69,प्रतियोगिताको तुल पढेपछि टोम्मी रिसी रिक्सा अनि टेक टुक् टुक् भेट्न उत्निखेरै हिँड्यो ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,9.288,ne-NP,nepali
70,मलाई बाबालाई फोन गर्न याद दिलाउ है ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.996,ne-NP,nepali
71,को को के के गर्दै हनुहुन्छ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.24,ne-NP,nepali
72,राम्रो खेल खेल्नेले ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali
73,कहीं नभा जात्रा हाँडीगाउमा ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali
74,"गोल्भेडाको अचार, थपी दिनुस् है ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.888,ne-NP,nepali
75,"रमाइलो भयो भन्छन्, सबै जना साथी ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.996,ne-NP,nepali
76,जनतालाई स्रोतसाधनबाट बाहिर राखे ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.788,ne-NP,nepali
77,स्पेनको समर्थन गर्दै हो म त ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.816,ne-NP,nepali
78,अाजको तापक्रम कति छ होला?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.14,ne-NP,nepali
79,ढिँडो ओडल्या हो कि के हो?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.42,ne-NP,nepali
80,"नेपाल, एक दक्षिण एसियाली भूपरिवेष्ठित हिमाली राष्ट्र हो ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,6.336,ne-NP,nepali
81,अधिकांश ठाउँ बिक्रीमा भएकाले खुला स्थानको माग बढी छ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.796,ne-NP,nepali
82,मैले महसुस गरेँ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali
83,रात गए अग्राख पलाउँछ,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali
84,गर्न थाल्छ म्याँ–म्याँ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali
85,अल्ली सेलाको हो कि?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.988,ne-NP,nepali
86,"हुन त, सिक्न खोजेको धेरै भयो।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.6,ne-NP,nepali
87,हामी सबैलाई बधाइ छ है ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.916,ne-NP,nepali
88,तिम्रो कलेजमा पनि गरौँ न ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.348,ne-NP,nepali
89,नेपाली भाषालाई हामी सबैले माया गरौँ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.176,ne-NP,nepali
90,भात खायौ त?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.448,ne-NP,nepali
91,नजिते पनि के भो र!,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali
92,सरकारी बिदा कति दिन छ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali
93,धेरै पानी पिउनु स्वास्थ्यका लागि फाइदाजनक हुन्छ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.176,ne-NP,nepali
94,"माफ पाउँ, गल्ती भयो।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.816,ne-NP,nepali
95,त्यसमा सावधानीपूर्वक आफ्नो नाउँ भरे ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.78,ne-NP,nepali
96,अल्छी लाग्छ मलाई के गर्ने होला?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.528,ne-NP,nepali
97,यो समुहमा रमाइलो कुरा हुन्छ है।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.78,ne-NP,nepali
98,"आए आप, गए झटारो।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.816,ne-NP,nepali
99,"कति मेसेज मात्रै हेरोस बिचराले,यसो भिडियो हेरेर मुड फ्रेश बनावोस भनेर ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,6.948,ne-NP,nepali
100,बिहान उठ्ने बित्तिकै झुल्के घाम देख्न पाईयोस्।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.788,ne-NP,nepali
101,दहि चिउरा खोज्नु पर्यो।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali
102,त्यसको लागि त नयाँ रोड तिर जानु ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.78,ne-NP,nepali
103,हाहा! यी वाक्यहरु हाम्रो डाटाबेशमा नजाअोस भनेर तेसरी लेखेको ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.688,ne-NP,nepali
104,आँखा गोला गोला ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.808,ne-NP,nepali
105,मानव संसाधन विकास भनेको के हो?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.78,ne-NP,nepali
106,यो सरकारी कामकाजको भाषा पनि हो ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.816,ne-NP,nepali
